853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
762290"2016918799"Repeat Offender"1232 ABERDEEN DR, HARVEY"8/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/23/2016"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"COMPLAINT RECEIVED"08/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"08/09/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"08/09/2016"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/19/2017"DEMAND LETTER"02/03/2017"
762297"2016918803"Repeat Offender"1255 ABERDEEN DR, HARVEY"8/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/23/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/15/2017"DEMAND LETTER"02/03/2017"
757261"2016916871"Repeat Offender"1255 ABERDEEN DR, HARVEY"8/1/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/01/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/20/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
756936"2016916758"Repeat Offender"1201 ABERDEEN DR, HARVEY"7/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/29/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
756542"2016916550"Repeat Offender"1255 ABERDEEN DR, HARVEY"7/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/28/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/24/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
756247"2016916423"Repeat Offender"1201 ABERDEEN DR, HARVEY"7/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/27/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
756263"2016916433"Repeat Offender"1232 ABERDEEN DR, HARVEY"7/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/27/2016"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/24/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
746651"2016912630"Repeat Offender"1201 ABERDEEN DR, HARVEY"6/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/15/2016"SCOTSDALE"1141 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
746805"2016912685"Repeat Offender"1200 ABERDEEN DR, HARVEY"6/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/15/2016"SCOTSDALE"1200 Block ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
746846"2016912701"Repeat Offender"1255 ABERDEEN DR, HARVEY"6/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/15/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/03/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
743253"2016911276"Repeat Offender"1200 ABERDEEN DR, HARVEY"5/31/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/31/2016"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
743322"2016911297"Repeat Offender"1200 ABERDEEN DR, HARVEY"5/31/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/31/2016"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
743338"2016911301"Repeat Offender"1255 ABERDEEN DR, HARVEY"5/31/2016"REPETITIVE CUT"PMZ - WEED CONTROL"05/31/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"05/16/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/16/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
743022"2016911158"Repeat Offender"1232 ABERDEEN DR, HARVEY"5/27/2016"REPETITIVE CUT"PMZ - WEED CONTROL"05/27/2016"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/16/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
742604"2016910942"Repeat Offender"1201 ABERDEEN DR, HARVEY"5/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/26/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
738520"2016909344"Repeat Offender"1232 ABERDEEN DR, HARVEY"5/6/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/06/2016"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/25/2016"
738557"2016909353"Repeat Offender"1200 ABERDEEN DR, HARVEY"5/6/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/06/2016"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/25/2016"
720292"2016902166"Repeat Offender"1201 ABERDEEN DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"COMMENT"07/01/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/28/2016"COMMENT"04/19/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/05/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720577"2016902192"Repeat Offender"1232 ABERDEEN DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"LETTER RETURNED"06/27/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"COMMENT"06/03/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/29/2016"BILLED"04/08/2016"COMMENT"03/27/2017"COMMENT"03/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/17/2016"COMMENT"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720469"2016902422"Repeat Offender"1200 ABERDEEN DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTSDALE"1200 Block ABERDEEN DR"HARVEY"W"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/29/2016"COMMENT"04/15/2016"BILLED"04/08/2016"COMMENT"03/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/17/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720454"2016902430"Repeat Offender"1255 ABERDEEN DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"LETTER RETURNED"06/30/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/15/2016"BILLED"04/08/2016"COMMENT"03/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/17/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720613"2016902474"Repeat Offender"1100 ABERDEEN DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTSDALE"1100 Block ABERDEEN DR"HARVEY"W"COMMENT"07/14/2016"LETTER RETURNED"07/03/2016"COMMENT"07/01/2016"DEMAND LETTER"06/23/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"COMMENT"06/09/2016"COMMENT"05/13/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/15/2016"BILLED"04/01/2016"COMMENT"03/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/14/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720360"2016902645"Repeat Offender"3868 ACCACIA LN, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"WOODMERE"3868 ACCACIA LN"HARVEY"W"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854106"2018902195"Repeat Offender"6300 ACRE RD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AMES TERRACE"6300 ACRE RD"MARRERO"W"
853920"2018902279"Repeat Offender"6600 ACRE RD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AMES FARM"6600 ACRE RD"MARRERO"W"
854297"2018902291"Repeat Offender"6568 ACRE RD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AIRLINE PARK (WEST BANK)"6568 ACRE RD"MARRERO"W"
850725"2017924857"Repeat Offender"6600 ACRE RD, MARRERO"11/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/22/2017"AMES FARM"6600 ACRE RD"MARRERO"W"
841968"2017921930"Repeat Offender"6600 ACRE RD, MARRERO"10/4/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/04/2017"AMES FARM"6600 ACRE RD"MARRERO"W"
818154"2017913165"Repeat Offender"6600 ACRE RD, MARRERO"6/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/22/2017"AMES FARM"6600 Block ACRE RD"MARRERO"W"
804822"2017908126"Repeat Offender"6600 ACRE RD, MARRERO"4/19/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/19/2017"AMES FARM"6600 ACRE RD"MARRERO"W"COMPLAINT RECEIVED"04/04/2017"
791747"2017903459"Repeat Offender"6600 ACRE RD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"AMES FARM"6600 Block ACRE RD"MARRERO"W"COMMENT"07/18/2017"DEMAND LETTER"06/14/2017"COMMENT"06/12/2017"COMMENT"06/06/2017"COMMENT"05/08/2017"COMMENT"04/06/2017"BILLED"03/28/2017"COMMENT"03/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/07/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
783880"2016926516"Repeat Offender"6600 ACRE RD, MARRERO"12/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"12/22/2016"AMES FARM"6600 ACRE RD"MARRERO"W"
768925"2016921327"Repeat Offender"6600 ACRE RD, MARRERO"9/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/23/2016"AMES FARM"6600 ACRE RD"MARRERO"W"DEMAND LETTER"02/01/2017"
762841"2016919057"Repeat Offender"6600 ACRE RD, MARRERO"8/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/25/2016"AMES FARM"6600 ACRE RD"MARRERO"W"DEMAND LETTER"01/24/2017"
759062"2016917592"Repeat Offender"6600 ACRE RD, MARRERO"8/9/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/09/2016"AMES FARM"6600 ACRE RD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
755778"2016916264"Repeat Offender"6600 ACRE RD, MARRERO"7/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/26/2016"AMES FARM"6600 ACRE RD"MARRERO"W"
748000"2016913193"Repeat Offender"6600 ACRE RD, MARRERO"6/21/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/21/2016"AMES FARM"6600 ACRE RD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
742515"2016910923"Repeat Offender"6600 ACRE RD, MARRERO"5/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/26/2016"AMES FARM"6600 ACRE RD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
735804"2016908241"Repeat Offender"6600 ACRE RD, MARRERO"4/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/25/2016"AMES FARM"6600 ACRE RD"MARRERO"W"
720303"2016902491"Repeat Offender"6600 ACRE RD, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"AMES FARM"6600 ACRE RD"MARRERO"W"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"COMMENT"06/09/2016"COMMENT"05/10/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/18/2016"BILLED"04/01/2016"COMMENT"03/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/14/2016"COMMENT"02/22/2016"INSPECTION COMPLETED/DATE"02/20/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854446"2018902303"Repeat Offender"6164 ADAM DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"
839974"2017921213"Repeat Offender"6164 ADAM DR, MARRERO"9/25/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"09/25/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"COMPLAINT ENTERED/DATE"09/25/2017"COMPLAINT RECEIVED"09/25/2017"PROPERTY CUT BY PARISH CONTRACTOR"09/12/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/12/2017"
830859"2017917989"Repeat Offender"6164 ADAM DR, MARRERO"8/15/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/15/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"COMPLAINT ENTERED/DATE"08/15/2017"COMPLAINT RECEIVED"08/15/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/26/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/26/2017"
828057"2017916849"Repeat Offender"6164 ADAM DR, MARRERO"8/3/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"COMPLAINT ENTERED/DATE"08/03/2017"COMPLAINT RECEIVED"08/03/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/05/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/05/2017"
820156"2017913914"Repeat Offender"6164 ADAM DR, MARRERO"6/29/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/29/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"COMPLAINT ENTERED/DATE"06/29/2017"COMPLAINT RECEIVED"06/29/2017"PROPERTY CUT BY PARISH CONTRACTOR"06/10/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/10/2017"
812550"2017911156"Repeat Offender"6164 ADAM DR, MARRERO"5/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/26/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"MAIL CORRESPONDANCE"06/14/2017"BILLED"05/31/2017"COMPLAINT ENTERED/DATE"05/26/2017"COMPLAINT RECEIVED"05/26/2017"PROPERTY CUT BY PARISH CONTRACTOR"05/16/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/16/2017"
791301"2017903194"Repeat Offender"6164 ADAM DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"COMMENT"07/11/2017"LETTER RETURNED"06/17/2017"LETTER RETURNED"06/17/2017"DEMAND LETTER"06/14/2017"DEMAND LETTER"06/14/2017"DEMAND LETTER"06/14/2017"DEMAND LETTER"06/14/2017"DEMAND LETTER"06/14/2017"COMMENT"06/12/2017"COMMENT 2"05/18/2017"MAIL CORRESPONDANCE"05/18/2017"COMMENT"05/18/2017"COMMENT"05/08/2017"COMMENT"04/06/2017"BILLED"04/05/2017"COMMENT"03/15/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/14/2017"MAIL CORRESPONDANCE"03/13/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
768936"2016921328"Repeat Offender"6164 ADAM DR, MARRERO"9/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/23/2016"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/07/2016"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/18/2017"LETTER RETURNED"02/13/2017"LETTER RETURNED"02/13/2017"LETTER RETURNED"02/13/2017"LETTER RETURNED"02/13/2017"LETTER RETURNED"02/13/2017"LETTER RETURNED"02/13/2017"DEMAND LETTER"02/01/2017"DEMAND LETTER"02/01/2017"DEMAND LETTER"02/01/2017"DEMAND LETTER"02/01/2017"DEMAND LETTER"02/01/2017"DEMAND LETTER"02/01/2017"DEMAND LETTER"02/01/2017"
766044"2016920189"Repeat Offender"6164 ADAM DR, MARRERO"9/12/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/12/2016"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"LETTER RETURNED"01/17/2017"LETTER RETURNED"01/17/2017"LETTER RETURNED"01/17/2017"LETTER RETURNED"01/17/2017"LETTER RETURNED"01/17/2017"LETTER RETURNED"01/17/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"
755488"2016916133"Repeat Offender"6164 ADAM DR, MARRERO"7/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/25/2016"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"DEMAND LETTER"11/23/2016"DEMAND LETTER"11/23/2016"COMMENT"08/12/2016"MAIL CORRESPONDANCE"08/12/2016"BILLED"07/28/2016"COMPLAINT ENTERED/DATE"07/25/2016"COMPLAINT RECEIVED"07/25/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/27/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/27/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
742673"2016910968"Repeat Offender"6164 ADAM DR, MARRERO"5/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/26/2016"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"DEMAND LETTER"09/07/2016"MAIL CORRESPONDANCE"06/09/2016"BILLED"05/27/2016"COMPLAINT ENTERED/DATE"05/26/2016"COMPLAINT RECEIVED"05/26/2016"PROPERTY CUT BY PARISH CONTRACTOR"05/12/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/12/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
720599"2016902204"Repeat Offender"6164 ADAM DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"HAYDEL MANOR"6164 ADAM DR"MARRERO"W"LETTER RETURNED"08/23/2016"LETTER RETURNED"08/23/2016"LETTER RETURNED"08/23/2016"LETTER RETURNED"08/23/2016"COMMENT"08/18/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"COMMENT"07/20/2016"MAIL CORRESPONDANCE"07/07/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"MAIL CORRESPONDANCE"06/03/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/28/2016"COMMENT"04/19/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/31/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854168"2018902113"Repeat Offender"209 ADONIS WAY, TERRYTOWN"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"
830931"2017918015"Repeat Offender"209 ADONIS WAY, TERRYTOWN"8/15/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/15/2017"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"
818986"2017913429"Repeat Offender"209 ADONIS WAY, TERRYTOWN"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"
815885"2017912369"Repeat Offender"209 ADONIS WAY, TERRYTOWN"6/12/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/12/2017"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"
791689"2017903013"Repeat Offender"209 ADONIS WAY, TERRYTOWN"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"COMMENT"09/14/2017"LETTER RETURNED"09/05/2017"COMMENT"08/29/2017"COMMENT"08/15/2017"DEMAND LETTER"08/09/2017"COMMENT"07/31/2017"COMMENT"07/14/2017"COMMENT"07/05/2017"COMMENT"06/15/2017"COMMENT"06/05/2017"COMMENT"05/17/2017"BILLED"05/05/2017"COMMENT"04/28/2017"COMMENT"04/17/2017"PROPERTY CUT BY PARISH CONTRACTOR"04/12/2017"COMMENT"04/04/2017"COMMENT"03/16/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
749952"2016914011"Repeat Offender"209 ADONIS WAY, TERRYTOWN"6/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/28/2016"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"ADVALOREM TAX ORDINANCE"05/03/2017"
746366"2016912487"Repeat Offender"209 ADONIS WAY, TERRYTOWN"6/14/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/14/2016"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"ADVALOREM TAX ORDINANCE"05/03/2017"
744263"2016911659"Repeat Offender"209 ADONIS WAY, TERRYTOWN"6/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/03/2016"TERRYTOWN 2A"209 ADONIS WAY"TERRYTOWN"W"ADVALOREM TAX ORDINANCE"05/03/2017"
